net,length_um
u_decod.rs1_data_q\[23\],220.35
_03238_,220.06
u_decod.dec0.funct7\[4\],219.9
net254,219.22
_01427_,218.2
_04427_,218.11
net174,217.98
_04446_,217.29
_02276_,217.18
net41,217.095
_03586_,217.08
_03625_,216.06
_03212_,215.55
_02332_,215.45
u_decod.rf_ff_res_data_i\[7\],214.73
_03206_,214.36
net176,214.02
u_decod.rf_ff_res_data_i\[25\],213.405
u_decod.dec0.funct7\[3\],212.06
_01475_,211.32
_01469_,210.77
u_decod.pc_q_o\[6\],208.51
net175,208.46
_05077_,208.125
_02669_,208.12
_03670_,207.575
net171,206.98
_03187_,206.45
_01208_,206.28
_03249_,206.12
_03248_,205.68
net178,205.47
u_decod.dec0.instr_i\[21\],204.87
u_decod.rf_ff_res_data_i\[13\],204.79
_01528_,204.76
net189,204.67
_01437_,204.65
net361,204.18
_01572_,204.07
_02257_,203.985
u_decod.instr_operation_q\[1\],203.66
u_decod.dec0.funct7\[6\],203.61
_03669_,202.7
u_decod.flush_v,202.7
_03750_,202.6
u_decod.pc_q_o\[8\],201.87
u_decod.instr_operation_q\[5\],201.31
u_decod.rf_ff_res_data_i\[3\],200.925
_02284_,200.54
net19,200.34
net47,200.155
_03773_,199.84
net179,199.84
u_decod.dec0.instr_i\[23\],199.14
net57,199.035
_03894_,198.72
u_decod.pc_q_o\[10\],198.64
net49,197.99
_03626_,197.97
_01585_,197.185
net270,196.93
_01419_,196.41
_03381_,196.36
_02185_,195.36
_03854_,195.32
_01106_,194.74
_03794_,194.71
_03382_,194.7
u_decod.rs1_data_q\[4\],194.68
net475,194.5
net180,194.44
_02089_,193.7
_01105_,193.625
u_decod.dec0.unsign_extension,193.15
net181,192.98
_01466_,192.9
_03813_,192.82
net46,192.555
_02244_,192.18
_03213_,192.03
_04728_,191.855
u_decod.instr_unit_q\[1\],191.55
net441,191.13
_05151_,190.95
_01672_,190.26
_01874_,190.175
_02811_,189.86
u_decod.rf_ff_res_data_i\[14\],189.86
u_decod.pc_q_o\[1\],189.73
_01893_,189.58
_01590_,189.17
_04789_,188.775
u_decod.pc0_q_i\[10\],188.24
_03792_,188.2
_05187_,188.08
net191,188
_01554_,187.27
_01651_,186.93
_03259_,186.13
_01772_,185.65
_04740_,185.5
u_decod.exe_ff_res_data_i\[23\],185.36
_01604_,185.25
_01678_,185.14
_01460_,184.99
_01657_,184.945
net51,184.255
_01593_,182.5
_01905_,182.4
_04570_,182.38
u_decod.pc_q_o\[12\],182.28
u_decod.rs1_data_q\[20\],182.06
net122,181.88
net474,181.74
_01655_,181.48
_01502_,181.04
_04196_,180.98
_01582_,179.99
_01623_,179.43
u_decod.pc_q_o\[7\],179.22
u_decod.rs1_data_q\[1\],178.98
_03340_,178.95
_04899_,177.96
_01665_,177.81
net465,176.92
u_decod.rf_ff_res_data_i\[2\],176.54
net509,176.23
u_decod.dec0.instr_i\[22\],176.18
net389,175.4
net54,175.36
u_decod.pc_q_o\[2\],175.32
u_decod.rs1_data_q\[22\],174.99
_03243_,174.68
_03404_,174.61
_01620_,174.5
_01506_,174.26
_01614_,174.08
_01066_,173.83
_03729_,173.42
_04607_,173.3
u_decod.pc0_q_i\[5\],172.42
_03242_,172.38
_02528_,172.16
